"name","M12D1","M12D10","M12D11","M12D12","M12D13","M12D14","M12D15","M12D16","M12D17","M12D18","M12D19","M12D2","M12D20","M12D21","M12D22","M12D23","M12D24","M12D25","M12D26","M12D27","M12D28","M12D29","M12D3","M12D30","M12D31","M12D4","M12D5","M12D6","M12D7","M12D8","M12D9","M1D1","M1D10","M1D11","M1D12","M1D13","M1D14","M1D15","M1D16","M1D17","M1D18","M1D19","M1D2","M1D20","M1D21","M1D22","M1D23","M1D24","M1D25","M1D26","M1D27","M1D28","M1D29","M1D3","M1D30","M1D31","M1D4","M1D5","M1D6","M1D7","M1D8","M1D9","M2D1","M2D10","M2D11","M2D12","M2D13","M2D14","M2D15","M2D16","M2D17","M2D18","M2D19","M2D2","M2D20","M2D21","M2D22","M2D23","M2D24","M2D25","M2D26","M2D27","M2D28","M2D29","M2D3","M2D4","M2D5","M2D6","M2D7","M2D8","M2D9","M3D1","lat","lon"
"복정동",37.8695652173913,55.375,100.833333333333,59,41.75,28.7916666666667,23.375,24.9583333333333,31,35.9130434782609,31.2916666666667,38.5416666666667,27.7083333333333,39.5833333333333,47.6521739130435,65.5,66.695652173913,28.9583333333333,55.75,69.4583333333333,58.75,70.25,30.6818181818182,42.0434782608696,32.0833333333333,35.2083333333333,37.375,41.4583333333333,54.625,26.125,38.8333333333333,37.375,62.9166666666667,60,47.0434782608696,28.2916666666667,34.7083333333333,38.7916666666667,47.4583333333333,58.9565217391304,62.9166666666667,62.5416666666667,56.5833333333333,60.6666666666667,45.0416666666667,54.5833333333333,57.2083333333333,73.9583333333333,53.2727272727273,26.6521739130435,12.5,13.8333333333333,18.9166666666667,65.375,23,36.6086956521739,56.9166666666667,48.7083333333333,45.0416666666667,13.4583333333333,30.4583333333333,55.7083333333333,72.75,49.4583333333333,54.9166666666667,47.8636363636364,63.2916666666667,83.2083333333333,69.8695652173913,62.0454545454545,81.9285714285714,22.7826086956522,33.25,67,54.3809523809524,49.4761904761905,75.1666666666667,26.1666666666667,37.3333333333333,20.5833333333333,22.4782608695652,16.9583333333333,28.5,22.5652173913043,31.4583333333333,31.875,27.875,44.9545454545455,41.2916666666667,44.5,38.0833333333333,34,37.4563598,127.1304652
"본오동",32.5714285714286,65.4166666666667,101.958333333333,54.5,36.4583333333333,22.0416666666667,20.25,20.5,30.1666666666667,36.0416666666667,27.5,34.0416666666667,27.0833333333333,40.2916666666667,58.15,72.1666666666667,66.0909090909091,27.5,62.9583333333333,70.3333333333333,71.7272727272727,66.875,25.125,28.25,28.0416666666667,28.375,39.8333333333333,45.7916666666667,55.8260869565217,26.35,47,31.6818181818182,72,54.5,43.25,25.304347826087,34.9583333333333,40,45.3478260869565,70.5833333333333,69.7916666666667,67.9565217391304,60,56.375,51.5,54.2608695652174,64.9166666666667,79.375,56.5416666666667,36.5,10.125,13.5,19.2083333333333,72.5217391304348,24.1739130434783,45.3333333333333,61,55.1666666666667,40.7142857142857,7.95833333333333,34.5714285714286,55.0434782608696,72.2173913043478,51.7272727272727,61.3333333333333,38.0869565217391,67.2,81.9444444444444,70.75,47.3809523809524,56.7083333333333,27.625,30.25,68.1818181818182,44,44.8181818181818,83.1666666666667,25.8333333333333,35.4166666666667,18.3333333333333,19.375,24.2916666666667,25.2083333333333,23.0416666666667,27.0952380952381,27.7083333333333,24.5833333333333,43.6666666666667,42.375,43.8333333333333,36.25,15,37.296107,126.87234
"봉담읍",57.2608695652174,75.5,111.125,81.2083333333333,40.6666666666667,29.125,28.375,34.0416666666667,37.7391304347826,43.2083333333333,33.625,56.75,28.0416666666667,46.9583333333333,59.3181818181818,73.4166666666667,76,32.7916666666667,66.2916666666667,72.25,79.5833333333333,70.5217391304348,43.4166666666667,49.1666666666667,32.0833333333333,53.3333333333333,51.7083333333333,60.5416666666667,78.125,37.7083333333333,62.695652173913,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.219282,126.949062
"봉산동",44.0869565217391,64.8695652173913,94.75,69.375,35.8333333333333,19.1666666666667,16.875,19.0416666666667,30.25,35.125,28.0416666666667,34.375,30.0416666666667,41.125,54.5833333333333,73.875,66.5652173913043,25.125,52.5,66.3333333333333,70.2083333333333,74.75,33.125,29.1666666666667,26.1666666666667,28.9130434782609,45.7083333333333,53.125,60.9565217391304,30.5416666666667,42,33,70.8333333333333,63.3333333333333,42.875,22.9166666666667,35.5909090909091,38.25,47.625,60.625,61.1666666666667,67.0416666666667,66.7083333333333,61.4166666666667,36.4583333333333,45,56.9583333333333,90.6666666666667,65.1666666666667,38.2083333333333,6.875,10.375,15.0416666666667,85.2083333333333,19.2173913043478,42.4583333333333,66.875,59.375,54.2916666666667,4.5,26.2083333333333,44.9565217391304,70.4583333333333,68.1666666666667,66.4583333333333,49.8333333333333,68.25,80.0454545454545,74.4583333333333,25.7083333333333,26.0909090909091,21.2083333333333,30.1666666666667,77.5833333333333,63.2916666666667,71.4166666666667,71.5416666666667,25.125,32.9583333333333,19.8333333333333,11.5833333333333,30.3913043478261,27.8333333333333,28.9166666666667,31.5833333333333,30.2916666666667,19.5833333333333,35.875,47.4347826086956,45.75,35.125,43,37.007863,127.279856
"부곡3동",32.3913043478261,59.304347826087,97.75,57.1666666666667,33.5652173913044,22.7083333333333,20.5,19.5833333333333,28.6521739130435,34.8333333333333,27.9166666666667,33.6111111111111,25.1666666666667,34.625,45.8421052631579,63.7391304347826,64.5833333333333,26.625,55.9166666666667,62.7083333333333,67.5416666666667,65.5416666666667,25.5,33.2083333333333,28.9583333333333,29.2727272727273,37.5,38.8333333333333,52.875,24.8333333333333,41.5,36.7083333333333,71.5,63.8695652173913,48.8260869565217,32,45.625,50.25,51.75,74.8333333333333,77.9130434782609,71.125,67.7083333333333,57.9583333333333,56.625,65.4347826086957,66.4583333333333,79.5,62.1904761904762,32.0476190476191,10.625,12.375,21.5416666666667,82.4583333333333,25.5454545454545,46.6153846153846,67.6666666666667,67.1666666666667,49.0952380952381,11.3478260869565,29.9545454545455,55.8571428571429,78.3913043478261,59.0833333333333,70.3333333333333,53.7222222222222,67.304347826087,92,80.7368421052632,31.8421052631579,39.2083333333333,26.125,35.4583333333333,73.2083333333333,53.3157894736842,55.25,79.3333333333333,26.9583333333333,38.625,18.8181818181818,18.7826086956522,23.2083333333333,29.6818181818182,27.0588235294118,30.5,33.2173913043478,25.875,45.2083333333333,45,41.875,42.1739130434783,28,37.320048,126.948907
"부곡동1",44.8695652173913,68.6666666666667,118.375,71.625,37.695652173913,22.4090909090909,22.7083333333333,25.375,37.9166666666667,39,31.625,42.9166666666667,35.2083333333333,53.1666666666667,62.2272727272727,74.75,72.7083333333333,36.125,76.6666666666667,69.2916666666667,70.8636363636364,80.7083333333333,34.4,29.9583333333333,31.25,42.75,43.125,54.375,66.9583333333333,34.2380952380952,52.1666666666667,36.375,86.8636363636364,72.875,55.4166666666667,34.4583333333333,52.3636363636364,58.4166666666667,65.1666666666667,91.4166666666667,90.2916666666667,81.75,73.25,69.4583333333333,67.9090909090909,77.3333333333333,86.5416666666667,93.2083333333333,71.9166666666667,41.9583333333333,10,13.9166666666667,21.4583333333333,93.875,28.5909090909091,55.5833333333333,80.9583333333333,72.0416666666667,46.0833333333333,3.5,30.5416666666667,63.2083333333333,85.8333333333333,65.9090909090909,87.4166666666667,48.875,74.5416666666667,100.791666666667,86.8333333333333,27.4583333333333,44.9583333333333,29.9166666666667,37.0833333333333,84.375,66.1666666666667,59.5416666666667,89.0833333333333,28.5833333333333,40.7083333333333,19.625,19.125,27.5,32.4583333333333,30.7083333333333,34,37.0416666666667,27.5833333333333,56.3636363636364,53.75,48.9583333333333,46.3333333333333,42,37.332,126.8611
"부림동",32.1304347826087,62.5416666666667,91.9583333333333,53.2916666666667,33.9166666666667,23.1304347826087,18.4583333333333,20.6666666666667,28.5416666666667,32.375,29.7916666666667,32.5833333333333,24.75,36.695652173913,47.375,63.9583333333333,66.125,27.1666666666667,54.7916666666667,66.75,64.7916666666667,66.625,25.7916666666667,33.6666666666667,25.875,31.2608695652174,37.25,41.1666666666667,52.7916666666667,24.4347826086957,36.5,34.2916666666667,64.875,53.3333333333333,43.9583333333333,24.625,35.1666666666667,37.9166666666667,39.9130434782609,60.375,62,64.6666666666667,64.6666666666667,55.25,51.75,56.2916666666667,60.4583333333333,73.8333333333333,50.0833333333333,28.1666666666667,9.66666666666667,12.0434782608696,16.9583333333333,75.7083333333333,19.8333333333333,36.3333333333333,59.3333333333333,49.1666666666667,44.7916666666667,7.39130434782609,28.625,47.0416666666667,68.75,47.4166666666667,60.0416666666667,44.9090909090909,68.3913043478261,84.5,66.25,21.7083333333333,28.2083333333333,22.9583333333333,30.25,59.2916666666667,53,55.7083333333333,75.4166666666667,23.7083333333333,38.0833333333333,20.8333333333333,15.5217391304348,16.7083333333333,29.875,24.7083333333333,25.5416666666667,26.25,19,40.695652173913,36.8333333333333,36.5833333333333,32.625,35,37.394327,126.956859
"비전동",50,61.2083333333333,88.3478260869565,66.7083333333333,36.9583333333333,20.9166666666667,18.1666666666667,16.8695652173913,31.3333333333333,34.9166666666667,27.9583333333333,41.625,27.7916666666667,45.0833333333333,57.6818181818182,69,62.625,26.0833333333333,55.625,64.25,77.5416666666667,57.25,29.4583333333333,25.1666666666667,26.5833333333333,30.75,47.3333333333333,55.0416666666667,61.3333333333333,24.5,47.1666666666667,33.7083333333333,72.0416666666667,70.1666666666667,42.5833333333333,23.9166666666667,41.25,44.9583333333333,55.2608695652174,68.5,67.6666666666667,73.75,72.625,62.4166666666667,52.875,53.7916666666667,67.0416666666667,94.125,87.375,44.375,12.125,14.9166666666667,18.9166666666667,89.2916666666667,36.25,50.0869565217391,69.5,67.2083333333333,53.3333333333333,8.45833333333333,27.3636363636364,46.7916666666667,74.875,57.7916666666667,73.7083333333333,51.5416666666667,68.4583333333333,82.0869565217391,84.8333333333333,23.5217391304348,27.5416666666667,22.5833333333333,37.375,80,61.1304347826087,68.7083333333333,78.7083333333333,29.3333333333333,41.875,26.7083333333333,16.0416666666667,44.125,35.5,31.6666666666667,31.5833333333333,35.8181818181818,24.2083333333333,42.5833333333333,54.375,48.4583333333333,41.25,41,36.9913,127.1126
"상대원동",34.0434782608696,62.0833333333333,101.625,61.8333333333333,39.75,24.75,20.375,23.3333333333333,29,38.5833333333333,29.75,35.1739130434783,25.0833333333333,40.4347826086956,49.4166666666667,69.3333333333333,64.9583333333333,26.3333333333333,52.0416666666667,71.8333333333333,60.4166666666667,68.25,28.625,35.9166666666667,28,34.75,36.5,41.2916666666667,59.25,26.2916666666667,38.9545454545455,32,NA,NA,NA,23.4,36.0434782608696,40.9166666666667,48.125,61,65.375,60.9166666666667,NA,63.1666666666667,48.75,54.2083333333333,61.75,76.4166666666667,56.7083333333333,29,9.83333333333333,11.4166666666667,20.75,NA,24.7826086956522,33.4166666666667,NA,NA,NA,NA,NA,NA,73.9166666666667,49.5,57.4090909090909,43.0833333333333,68.1666666666667,93.1666666666667,69.75,24.125,29.2083333333333,25.5833333333333,33.8333333333333,78.7083333333333,62.1363636363636,65.125,73.75,24.5416666666667,36,19.5833333333333,22.5,18.25,32.0416666666667,26.625,32.625,30.3636363636364,27.5416666666667,44.375,44.625,43.3333333333333,37.625,38,37.433169,127.164372
"새솔동",37.9130434782609,69.5833333333333,98.875,61.625,38.2083333333333,25.25,22.7083333333333,22.75,33,39.75,30.8333333333333,35.4166666666667,28.9166666666667,45.4166666666667,59.7916666666667,77.4166666666667,66.875,28.0416666666667,66.4583333333333,75.7083333333333,69.5833333333333,71.7083333333333,25.9166666666667,31.7083333333333,29.2083333333333,32.375,46.5,48.7083333333333,58.2916666666667,27.4166666666667,49.4545454545455,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2814,126.8188
